"SampleID","leaf_code","tree","cohort","leaf","obs_date","date","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC","Vcmax_Estimate_tpu","Jmax_Estimate_tpu","Rd_Estimate_tpu","TPU_Estimate","Vcmax_Std.Error_tpu","Jmax_Std.Error_tpu","Rd_Std.Error_tpu","TPU_Std.Error","RMSE_tpu","TPU_improved_vcmax","TPU_improved_rmse","TPU_created_spuriousjmax","TPU_improved_both","useTPU","Vcmax_Estimate_final","Jmax_Estimate_final","Rd_Estimate_final","TPU_Estimate_final","Vcmax_Std.Error_final","Jmax_Std.Error_final","Rd_Std.Error_final","TPU_Std.Error_final","RMSE_final"
"18.1.1_20220707","18.1.1","18","1","1","20220707",2022-07-07,25.6955332437411,85.4725218197327,0.269391550234708,0.202075168060884,NA,0.0348999516183731,5.38307268767366,"good","good",25.6955332437411,85.4725218197327,0.269391550234708,NA,0.202075168060884,NA,0.0348999516183731,NA,5.38307268767366,0,0,0,0,0,25.6955332437411,85.4725218197327,0.269391550234708,NA,0.202075168060884,NA,0.0348999516183731,NA,5.38307268767366
"18.1.2_20220707","18.1.2","18","1","2","20220707",2022-07-07,29.3301596098697,94.3649723078657,0.360880676006547,0.440711486514493,NA,0.0784968038573434,5.10360745808754,"good","good",29.3130343408056,94.5417653304815,0.357346689515833,7.48833468552744,0.436288981270799,NA,0.0782037890140819,NA,5.08200527371659,1,1,0,2,2,29.3130343408056,94.5417653304815,0.357346689515833,7.48833468552744,0.436288981270799,NA,0.0782037890140819,NA,5.08200527371659
"18.1.3_20220707","18.1.3","18","1","3","20220707",2022-07-07,32.2900909803362,94.780848595294,0.341184389511655,0.408166004997933,NA,0.0616075591293059,4.98910508888029,"good","good",32.2083935945915,95.5129756636015,0.327318157866053,7.43086721050235,0.405262511540338,NA,0.0622139475390351,NA,4.6154005126303,1,1,0,2,2,32.2083935945915,95.5129756636015,0.327318157866053,7.43086721050235,0.405262511540338,NA,0.0622139475390351,NA,4.6154005126303
"18.1.3_20230124","18.1.3","18","1","3","20230124",2023-01-24,8.50926270229679,20.0556687462017,0.237360728687554,0.44768072194369,NA,0.0522855270692675,4.51198126903822,"good","good",8.61114328221488,21.1924132068757,0.251881097901249,1.58985983905794,0.391872901194761,NA,0.04988742122531,NA,3.96103228676953,1,1,0,2,2,8.61114328221488,21.1924132068757,0.251881097901249,1.58985983905794,0.391872901194761,NA,0.04988742122531,NA,3.96103228676953
"19.1.1_20221006","19.1.1","19","1","1","20221006",2022-10-06,29.3971981485439,25.4901860760178,-0.550490574408958,114.99721048745,NA,1.46209840529546,6.90235800867501,"bad","good",15.3643971819865,32.4634988723557,0.0253991110687027,1.99213854715856,0.990357506983556,NA,0.0386568483017153,NA,3.3356275943471,1,1,0,2,2,15.3643971819865,32.4634988723557,0.0253991110687027,1.99213854715856,0.990357506983556,NA,0.0386568483017153,NA,3.3356275943471
"19.1.1_20221130","19.1.1","19","1","1","20221130",2022-11-30,63.7394461407754,132.086548464729,2.38894236759141,3.85351218258071,NA,0.361953308212749,35.0451615675047,"good","good",78.2630268027637,180.771469558065,4.3799374228223,9.53437124224093,5.46524769762409,NA,0.321066222458357,NA,27.3147102014979,0,1,0,1,1,78.2630268027637,180.771469558065,4.3799374228223,9.53437124224093,5.46524769762409,NA,0.321066222458357,NA,27.3147102014979
"19.1.1_20230216","19.1.1","19","1","1","20230216",2023-02-16,20.1631360445024,49.9282508154246,-0.333758835644429,0.411472772631695,NA,0.0555329114254197,4.38574878767223,"good","good",20.1377860583535,50.0153949285454,-0.337181469240967,4.1305440997313,0.400756570833881,NA,0.0549825887516979,NA,4.35202480572423,1,1,0,2,2,20.1377860583535,50.0153949285454,-0.337181469240967,4.1305440997313,0.400756570833881,NA,0.0549825887516979,NA,4.35202480572423
"19.1.2_20221130","19.1.2","19","1","2","20221130",2022-11-30,43.3660250579874,149.698968744803,0.0104157077773107,2.2126231652074,NA,0.339878008124756,51.9186326395804,"good","good",43.1576119434875,153.426920831879,-0.0350544528954527,10.244344494171,2.09342243493464,NA,0.332322911926494,NA,51.8072846021851,1,1,0,2,2,43.1576119434875,153.426920831879,-0.0350544528954527,10.244344494171,2.09342243493464,NA,0.332322911926494,NA,51.8072846021851
"19.1.2_20230216","19.1.2","19","1","2","20230216",2023-02-16,27.9938862805434,71.7983314480233,0.539880229379432,0.402078561328403,NA,0.0519665682769115,7.56249749568001,"good","good",27.8486158072305,74.9541655522957,0.515035168731077,5.48579666218821,0.359224250497845,NA,0.0500660644880543,NA,5.29689651472702,1,1,0,2,2,27.8486158072305,74.9541655522957,0.515035168731077,5.48579666218821,0.359224250497845,NA,0.0500660644880543,NA,5.29689651472702
"19.1.3_20230216","19.1.3","19","1","3","20230216",2023-02-16,22.2069052192661,54.5329394299412,0.423948502096433,1.34420764709199,NA,0.130083077430666,10.4848762994395,"good","good",22.2069052192661,54.5332537710704,0.423948502096433,4.49946101782998,1.34420764709199,NA,0.130083077430666,NA,10.4847790297337,0,1,0,1,1,22.2069052192661,54.5332537710704,0.423948502096433,4.49946101782998,1.34420764709199,NA,0.130083077430666,NA,10.4847790297337
