"filename","SampleID","leaf_code","tree","cohort","leaf","date","obs","A","Ci","CO2_s","CO2_r","gsw","Pa","Qin","RHcham","Tleaf","SampleID_num"
"ACi_20.1.3_20221010.xlsx","20.1.3_20221010","20.1.3","20","1","3","20221010",64.5,2.38478868402718,298.914300283109,405.530830357143,416.345294642857,0.0390696696716491,101.315508928571,1200.01383928571,70.199547623177,33.7839678571429,83
"ACi_20.2.1_20230117.xlsx","20.2.1_20230117","20.2.1","20","2","1","20230117",64,3.69854099524148,283.512935156923,399.791,413.073625,0.0558101218221185,101.012375,1200.085,67.3588989218864,33.34165,84
"ACi_20.2.2_20221010.xlsx","20.2.2_20221010","20.2.2","20","2","2","20221010",64.5,9.99949661719405,288.856987953016,402.360839285714,416.640330357143,0.157625223519602,101.3298125,1199.99535714286,70.5529084276086,35.0754973214286,85
"ACi_21.1.1_20221010.xlsx","21.1.1_20221010","21.1.1","21","1","1","20221010",64.5,3.42840143137187,250.858389933911,405.531017857143,416.833,0.0379258902020869,101.380464285714,1199.99866071429,69.8331157479604,34.3738732142857,86
"ACi_21.1.3_20230117.xlsx","21.1.3_20230117","21.1.3","21","1","3","20230117",64,6.94859387327823,309.556675034627,396.389625,413.36175,0.145965848562154,101.225,1199.995,66.9539297715821,31.66885,87
"ACi_21.2.1_20221010.xlsx","21.2.1_20221010","21.2.1","21","2","1","20221010",64,13.9308989230331,331.857577947259,396.34325,412.93225,0.423623398657843,101.392,1200.00375,70.03196305766,33.5255625,88
"ACi_21.2.1_20230117.xlsx","21.2.1_20230117","21.2.1","21","2","1","20230117",64,5.32676759752544,357.337576209011,397.17075,413.194625,0.283088628371671,101.268875,1200.04875,66.7328431996471,30.8948625,89
"ACi_21.2.2_20221010.xlsx","21.2.2_20221010","21.2.2","21","2","2","20221010",64,10.0504905210025,273.841764209249,398.867375,413.077875,0.140620403964539,101.411125,1199.97875,70.1455875641209,33.79675,90
"ACi_21.2.2_20230117.xlsx","21.2.2_20230117","21.2.2","21","2","2","20230117",64.5,4.40222427785143,306.062985187406,402.486732142857,416.5905625,0.0812703080458587,101.172625,1200.00580357143,67.1868542706208,31.5823660714286,91
"ACi_22.1.1_20220718.xlsx","22.1.1_20220718","22.1.1","22","1","1","20220718",64,2.26563204725095,311.383152639199,405.352714285714,416.648714285714,0.0433792481788801,101.191857142857,1199.99714285714,68.1216611999139,33.4358,92
